"date","inboundc"
1999-10-01,512
1999-10-02,230
1999-10-03,1824
1999-10-04,1805
1999-10-05,1617
1999-10-06,1330
1999-10-07,1608
1999-10-08,593
1999-10-09,233
1999-10-10,1746
1999-10-11,1607
1999-10-12,1487
1999-10-13,1445
1999-10-14,1285
1999-10-15,615
1999-10-16,254
1999-10-17,1560
1999-10-18,1531
1999-10-19,1267
1999-10-20,1235
1999-10-21,1396
1999-10-22,499
1999-10-23,222
1999-10-24,1166
1999-10-25,1356
1999-10-26,1363
1999-10-27,1184
1999-10-28,1227
1999-10-29,525
1999-10-30,210
1999-10-31,1693
1999-11-01,2024
1999-11-02,2225
1999-11-03,1718
1999-11-04,1509
1999-11-05,495
1999-11-06,222
1999-11-07,1398
1999-11-08,1561
1999-11-09,1893
1999-11-10,1896
1999-11-11,1875
1999-11-12,592
1999-11-13,272
1999-11-14,1827
1999-11-15,2018
1999-11-16,1879
1999-11-17,1748
1999-11-18,1753
1999-11-19,349
1999-11-20,306
1999-11-21,1568
1999-11-22,1818
1999-11-23,1748
1999-11-24,1665
1999-11-25,1398
1999-11-26,427
1999-11-27,232
1999-11-28,1508
1999-11-29,1398
1999-11-30,1697
1999-12-01,1944
1999-12-02,1841
1999-12-03,651
1999-12-04,222
1999-12-05,1542
1999-12-06,1585
1999-12-07,1599
1999-12-08,1485
1999-12-09,1776
1999-12-10,596
1999-12-11,322
1999-12-12,2203
1999-12-13,1874
1999-12-14,2038
1999-12-15,1890
1999-12-16,1833
1999-12-17,495
1999-12-18,249
1999-12-19,1601
1999-12-20,1665
1999-12-21,1736
1999-12-22,1623
1999-12-23,1611
1999-12-24,487
1999-12-25,221
1999-12-26,1827
1999-12-27,1883
1999-12-28,1768
1999-12-29,1820
1999-12-30,2201
1999-12-31,477
