date,Junction,Vehicles
1/2/2016,1,265
1/3/2016,1,416
1/4/2016,1,712
1/5/2016,1,658
1/6/2016,1,654
1/7/2016,1,635
1/8/2016,1,731
1/9/2016,1,486
1/10/2016,1,402
1/11/2016,1,652
1/12/2016,1,624
1/13/2016,1,640
1/14/2016,1,546
1/15/2016,1,660
1/16/2016,1,477
1/17/2016,1,381
1/18/2016,1,762
1/19/2016,1,778
1/20/2016,1,712
1/21/2016,1,700
1/22/2016,1,722
1/23/2016,1,512
1/24/2016,1,490
1/25/2016,1,647
1/26/2016,1,662
1/27/2016,1,748
1/28/2016,1,710
1/29/2016,1,583
1/30/2016,1,572
1/31/2016,1,528
2/1/2016,1,776
2/2/2016,1,779
2/3/2016,1,805
2/4/2016,1,763
2/5/2016,1,666
2/6/2016,1,550
2/7/2016,1,587
2/8/2016,1,768
2/9/2016,1,786
2/10/2016,1,814
2/11/2016,1,810
2/12/2016,1,771
2/13/2016,1,549
2/14/2016,1,524
2/15/2016,1,825
2/16/2016,1,774
2/17/2016,1,918
2/18/2016,1,839
2/19/2016,1,759
2/20/2016,1,528
2/21/2016,1,580
2/22/2016,1,781
2/23/2016,1,906
2/24/2016,1,900
2/25/2016,1,798
2/26/2016,1,833
2/27/2016,1,628
2/28/2016,1,581
2/29/2016,1,1085
3/1/2016,1,907
3/2/2016,1,856
3/3/2016,1,676
3/4/2016,1,738
3/5/2016,1,679
3/6/2016,1,603
3/7/2016,1,599
3/8/2016,1,780
3/9/2016,1,805
3/10/2016,1,802
3/11/2016,1,760
3/12/2016,1,638
3/13/2016,1,618
3/14/2016,1,847
3/15/2016,1,792
3/16/2016,1,924
3/17/2016,1,846
3/18/2016,1,743
3/19/2016,1,601
3/20/2016,1,598
3/21/2016,1,802
3/22/2016,1,792
3/23/2016,1,677
3/24/2016,1,576
3/25/2016,1,501
3/26/2016,1,385
3/27/2016,1,525
3/28/2016,1,727
3/29/2016,1,718
3/30/2016,1,872
3/31/2016,1,853
